what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631655167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631674677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631675718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631680537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631681824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631686539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631687504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631724276
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631742310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631752194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631759317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631765929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631769080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631770284
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631771877
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631776406
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631778914
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631779709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631781476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631792049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631802003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631803320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631803964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631808231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631812804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631813224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631817523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631822312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352631822999
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631824738
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631826219
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631827216
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1352631830022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631834024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1352631835027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352631835282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1352631837631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1352631838456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1352631839328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1352631840249
