what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.cdo.ui,4.0.1.v20111213-0724,"org.eclipse.emf.cdo.ui",1351167055286
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.4.100.v201008301510,"org.eclipse.uml2.uml.ecore.exporter",1351167055286
stopped,bundle,org.eclipse.xsd.ecore.exporter,2.5.0.v20120130-0943,"org.eclipse.xsd.ecore.exporter",1351167055286
stopped,bundle,org.eclipse.emf.exporter,2.6.0.v20120130-0943,"org.eclipse.emf.exporter",1351167055286
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20120130-0943,"org.eclipse.emf.importer.ecore",1351167055286
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20120130-0943,"org.eclipse.emf.importer.java",1351167055286
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20120130-0943,"org.eclipse.emf.importer.rose",1351167055286
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.4.100.v201008301510,"org.eclipse.uml2.uml.ecore.importer",1351167055286
stopped,bundle,org.eclipse.xsd.ecore.importer,2.6.0.v20120130-0943,"org.eclipse.xsd.ecore.importer",1351167055286
stopped,bundle,org.eclipse.emf.importer,2.6.0.v20120130-0943,"org.eclipse.emf.importer",1351167055286
stopped,bundle,org.eclipse.emf.converter,2.5.0.v20120130-0943,"org.eclipse.emf.converter",1351167055286
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.6.100.v201008301510,"org.eclipse.uml2.codegen.ecore.ui",1351167055286
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore.ui",1351167055286
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.5.0.v20120130-0943,"org.eclipse.emf.mapping.ecore2ecore.editor",1351167055286
stopped,bundle,org.eclipse.uml2.examples.uml.ui,3.0.100.v201008191510,"org.eclipse.uml2.examples.uml.ui",1351167055286
stopped,bundle,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.editor",1351167055287
stopped,bundle,org.eclipse.emf.ecoretools.properties,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.properties",1351167055287
